alignment,cause,effect,n,lag,F,p,hac_F,hac_p
C_noshift (naive calendar),2330.TW,AMKR,1259,1,0.5696573404202928,0.4505367174320414,0.6068522764143159,0.43612231215271846
C_noshift (naive calendar),AMKR,2330.TW,1259,1,208.23283071300673,8.681847391805903e-44,144.36175955297347,1.4814227883422314e-31
C_noshift (naive calendar),3711.TW,AMKR,1259,1,1.8261146968317787,0.1768306861961755,1.2259297500203743,0.2684122365128225
C_noshift (naive calendar),AMKR,3711.TW,1259,1,215.83019170694948,3.31678342069394e-45,109.92444213977184,1.0326771323512975e-24
C_noshift (naive calendar),6239.TW,AMKR,1259,1,0.2126047587445466,0.6448133321717584,0.11993473820241089,0.7291633330888295
C_noshift (naive calendar),AMKR,6239.TW,1259,1,102.16045346701426,3.8275664296671784e-23,53.439377389980216,4.734364673319753e-13
C_noshift (naive calendar),2449.TW,AMKR,1259,1,0.05244373298968475,0.8189015902909527,0.03797779420491794,0.8455192783387299
C_noshift (naive calendar),AMKR,2449.TW,1259,1,75.84163825744825,9.522145410639755e-18,32.62812500966247,1.3920594909678125e-08
C_noshift (naive calendar),3264.TWO,AMKR,1259,1,0.5041981254896577,0.4777932013253172,0.41328880981162686,0.5204223701728659
C_noshift (naive calendar),AMKR,3264.TWO,1259,1,50.49068522653905,2.002189705295283e-12,22.5336121663515,2.3021156198365716e-06
C_noshift (naive calendar),3037.TW,AMKR,1259,1,0.054270088784814714,0.8158309086442393,0.03847450349869364,0.8445251539541596
C_noshift (naive calendar),AMKR,3037.TW,1259,1,90.55399417775673,8.858174653902728e-21,60.76615069678211,1.3419105968437675e-14
C_noshift (naive calendar),8046.TW,AMKR,1259,1,0.31770273097059365,0.573092198750929,0.29088408717273667,0.5897502099792968
C_noshift (naive calendar),AMKR,8046.TW,1259,1,88.48832543058275,2.3474915973999114e-20,60.19759384226813,1.7676358874398948e-14
C_noshift (naive calendar),3189.TW,AMKR,1259,1,1.076505236499174,0.2996805373100501,0.9360253829335157,0.33348851432184257
C_noshift (naive calendar),AMKR,3189.TW,1259,1,73.58517905227154,2.8003565598653264e-17,57.546934419022,6.400577810094822e-14
C_noshift (naive calendar),600584.SS,AMKR,1259,1,1.7066876900223733,0.19165505411233816,1.3640761922041902,0.24305411851404124
